,Shots,Goals,Takeaways,Hits,Blocked Shots,Giveaways,Missed Shots,Penalities,#Won Faceoffs,HoA_away,HoA_home,startRinkSide_left,startRinkSide_right
0,8.0,0.0,1.0,14.0,3.0,6.0,4.0,1.0,10.0,1,0,1,0
1,8.0,3.0,3.0,5.0,3.0,7.0,0.0,1.0,12.0,0,1,1,0
2,11.0,0.0,0.0,4.0,6.0,2.0,6.0,1.0,11.0,1,0,0,1
3,12.0,1.0,2.0,4.0,8.0,0.0,3.0,3.0,9.0,0,1,0,1
4,9.0,0.0,3.0,4.0,7.0,7.0,3.0,2.0,7.0,1,0,1,0
5,8.0,1.0,2.0,5.0,1.0,5.0,8.0,1.0,11.0,0,1,1,0
6,4.0,0.0,5.0,12.0,3.0,2.0,3.0,1.0,5.0,1,0,1,0
7,8.0,1.0,5.0,5.0,4.0,2.0,3.0,3.0,12.0,0,1,1,0
8,5.0,0.0,2.0,9.0,3.0,4.0,2.0,5.0,7.0,1,0,0,1
9,19.0,1.0,4.0,6.0,3.0,5.0,6.0,3.0,11.0,0,1,0,1
10,11.0,1.0,1.0,9.0,7.0,4.0,1.0,0.0,6.0,1,0,1,0
11,7.0,0.0,0.0,15.0,5.0,3.0,3.0,0.0,10.0,0,1,1,0
12,6.0,0.0,1.0,12.0,2.0,4.0,0.0,3.0,7.0,1,0,1,0
13,16.0,0.0,0.0,10.0,0.0,3.0,8.0,1.0,12.0,0,1,1,0
14,5.0,1.0,3.0,5.0,9.0,4.0,1.0,3.0,10.0,1,0,0,1
15,15.0,1.0,2.0,5.0,3.0,5.0,7.0,0.0,12.0,0,1,0,1
16,7.0,0.0,4.0,7.0,9.0,1.0,7.0,2.0,12.0,1,0,1,0
17,14.0,0.0,1.0,9.0,2.0,3.0,3.0,2.0,9.0,0,1,1,0
18,11.0,2.0,0.0,14.0,8.0,0.0,3.0,1.0,16.0,1,0,0,1
19,14.0,0.0,1.0,14.0,1.0,2.0,8.0,1.0,13.0,0,1,0,1
20,10.0,3.0,0.0,8.0,6.0,1.0,6.0,0.0,11.0,1,0,1,0
21,11.0,0.0,1.0,12.0,4.0,5.0,0.0,2.0,13.0,0,1,1,0
22,7.0,0.0,1.0,9.0,5.0,3.0,3.0,0.0,11.0,1,0,1,0
23,11.0,1.0,0.0,11.0,11.0,2.0,3.0,2.0,8.0,0,1,1,0
24,3.0,0.0,2.0,9.0,4.0,1.0,4.0,1.0,6.0,1,0,0,1
25,13.0,1.0,0.0,11.0,2.0,0.0,12.0,0.0,8.0,0,1,0,1
26,2.0,1.0,2.0,9.0,6.0,1.0,3.0,0.0,9.0,1,0,0,1
27,7.0,1.0,2.0,15.0,1.0,3.0,4.0,0.0,9.0,0,1,0,1
28,9.0,0.0,2.0,10.0,7.0,2.0,8.0,0.0,8.0,1,0,1,0
29,3.0,2.0,3.0,10.0,4.0,4.0,3.0,1.0,9.0,0,1,1,0
30,7.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,7.0,1,0,0,1
31,11.0,1.0,3.0,7.0,4.0,4.0,3.0,2.0,8.0,0,1,0,1
32,10.0,2.0,3.0,0.0,6.0,4.0,4.0,1.0,11.0,1,0,1,0
33,9.0,1.0,3.0,4.0,2.0,3.0,9.0,1.0,10.0,0,1,1,0
34,5.0,1.0,1.0,6.0,7.0,2.0,3.0,2.0,8.0,1,0,1,0
35,12.0,1.0,0.0,14.0,2.0,5.0,6.0,0.0,9.0,0,1,1,0
36,10.0,3.0,2.0,7.0,1.0,2.0,3.0,1.0,3.0,1,0,1,0
37,13.0,2.0,4.0,6.0,0.0,1.0,2.0,0.0,13.0,0,1,1,0
38,7.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,11.0,1,0,0,1
39,5.0,0.0,1.0,11.0,2.0,2.0,5.0,3.0,6.0,0,1,0,1
40,10.0,1.0,0.0,4.0,1.0,1.0,3.0,2.0,14.0,1,0,1,0
41,13.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,13.0,0,1,1,0
42,7.0,1.0,3.0,10.0,2.0,3.0,6.0,2.0,11.0,1,0,0,1
43,9.0,0.0,4.0,11.0,3.0,7.0,2.0,1.0,9.0,0,1,0,1
44,8.0,3.0,0.0,10.0,7.0,3.0,4.0,4.0,9.0,1,0,1,0
45,17.0,0.0,0.0,6.0,5.0,3.0,5.0,1.0,16.0,0,1,1,0
46,5.0,0.0,3.0,9.0,8.0,5.0,2.0,1.0,7.0,1,0,0,1
47,13.0,0.0,5.0,10.0,8.0,5.0,6.0,0.0,13.0,0,1,0,1
48,11.0,0.0,3.0,10.0,5.0,3.0,10.0,1.0,7.0,1,0,0,1
49,8.0,2.0,0.0,12.0,6.0,2.0,9.0,2.0,9.0,0,1,0,1
50,10.0,0.0,1.0,4.0,7.0,4.0,5.0,0.0,9.0,1,0,0,1
51,11.0,1.0,2.0,8.0,7.0,6.0,3.0,1.0,11.0,0,1,0,1
52,11.0,1.0,1.0,10.0,6.0,6.0,3.0,1.0,9.0,1,0,1,0
53,13.0,1.0,3.0,7.0,5.0,2.0,5.0,0.0,5.0,0,1,1,0
54,7.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0,11.0,1,0,1,0
55,8.0,0.0,3.0,3.0,8.0,5.0,5.0,1.0,13.0,0,1,1,0
56,9.0,2.0,2.0,10.0,5.0,2.0,3.0,1.0,15.0,1,0,0,1
57,8.0,2.0,0.0,7.0,2.0,4.0,4.0,1.0,8.0,0,1,0,1
58,8.0,0.0,2.0,10.0,5.0,1.0,5.0,2.0,6.0,1,0,1,0
59,4.0,0.0,0.0,4.0,7.0,3.0,9.0,1.0,12.0,0,1,1,0
60,12.0,0.0,5.0,9.0,7.0,2.0,3.0,2.0,5.0,1,0,0,1
61,7.0,0.0,3.0,6.0,3.0,5.0,5.0,0.0,13.0,0,1,0,1
62,11.0,0.0,3.0,7.0,1.0,1.0,4.0,1.0,4.0,1,0,1,0
63,10.0,0.0,5.0,12.0,5.0,3.0,6.0,2.0,6.0,0,1,1,0
64,9.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,6.0,1,0,1,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,0,0,1
66,10.0,0.0,1.0,8.0,8.0,1.0,5.0,0.0,12.0,0,1,1,0
67,9.0,0.0,4.0,18.0,6.0,3.0,4.0,2.0,3.0,1,0,1,0
68,13.0,1.0,3.0,11.0,5.0,6.0,2.0,1.0,12.0,0,1,1,0
69,9.0,1.0,1.0,4.0,6.0,1.0,1.0,0.0,14.0,1,0,1,0
70,9.0,0.0,1.0,10.0,8.0,1.0,3.0,1.0,7.0,0,1,1,0
71,4.0,1.0,3.0,9.0,6.0,1.0,3.0,0.0,12.0,1,0,1,0
72,10.0,0.0,1.0,12.0,2.0,2.0,1.0,1.0,10.0,0,1,1,0
73,10.0,0.0,1.0,14.0,4.0,2.0,4.0,0.0,10.0,1,0,1,0
74,13.0,1.0,0.0,13.0,5.0,10.0,6.0,1.0,9.0,0,1,1,0
75,12.0,0.0,1.0,8.0,5.0,1.0,4.0,0.0,12.0,1,0,0,1
76,6.0,2.0,1.0,7.0,7.0,6.0,3.0,1.0,10.0,0,1,0,1
77,3.0,0.0,1.0,14.0,10.0,6.0,1.0,3.0,8.0,1,0,0,1
78,22.0,0.0,4.0,8.0,0.0,5.0,6.0,0.0,13.0,0,1,0,1
79,14.0,0.0,5.0,10.0,8.0,1.0,1.0,0.0,17.0,1,0,1,0
80,8.0,2.0,4.0,8.0,8.0,2.0,1.0,1.0,8.0,0,1,1,0
81,12.0,0.0,4.0,3.0,2.0,4.0,5.0,1.0,16.0,1,0,1,0
82,3.0,0.0,0.0,3.0,4.0,3.0,2.0,2.0,9.0,0,1,1,0
83,5.0,1.0,0.0,7.0,1.0,2.0,5.0,2.0,11.0,1,0,1,0
84,19.0,2.0,0.0,14.0,5.0,3.0,7.0,1.0,17.0,0,1,1,0
85,11.0,2.0,2.0,19.0,6.0,2.0,5.0,0.0,12.0,1,0,1,0
86,6.0,1.0,4.0,9.0,4.0,7.0,1.0,0.0,6.0,0,1,1,0
87,11.0,1.0,3.0,4.0,3.0,6.0,5.0,1.0,8.0,1,0,1,0
88,11.0,2.0,1.0,12.0,2.0,10.0,1.0,2.0,6.0,0,1,1,0
89,9.0,0.0,3.0,15.0,7.0,4.0,4.0,1.0,7.0,1,0,0,1
90,10.0,1.0,7.0,13.0,4.0,10.0,8.0,1.0,13.0,0,1,0,1
91,6.0,1.0,2.0,6.0,12.0,3.0,1.0,3.0,10.0,1,0,1,0
92,13.0,1.0,8.0,12.0,0.0,6.0,6.0,1.0,9.0,0,1,1,0
93,9.0,1.0,3.0,5.0,4.0,1.0,3.0,2.0,11.0,1,0,0,1
94,8.0,3.0,2.0,10.0,7.0,3.0,3.0,1.0,19.0,0,1,0,1
95,10.0,1.0,3.0,4.0,7.0,0.0,4.0,2.0,10.0,1,0,0,1
96,9.0,0.0,1.0,8.0,1.0,2.0,3.0,2.0,12.0,0,1,0,1
97,14.0,0.0,4.0,6.0,0.0,0.0,6.0,2.0,11.0,1,0,1,0
98,8.0,2.0,3.0,11.0,7.0,9.0,2.0,4.0,11.0,0,1,1,0
99,6.0,2.0,1.0,16.0,7.0,6.0,2.0,1.0,13.0,1,0,1,0
100,14.0,1.0,1.0,7.0,1.0,5.0,7.0,2.0,13.0,0,1,1,0
101,8.0,0.0,1.0,9.0,4.0,4.0,3.0,0.0,10.0,1,0,1,0
102,8.0,0.0,4.0,13.0,9.0,4.0,6.0,1.0,4.0,0,1,1,0
103,6.0,1.0,1.0,6.0,4.0,5.0,3.0,1.0,10.0,1,0,1,0
104,7.0,1.0,4.0,9.0,10.0,2.0,6.0,1.0,11.0,0,1,1,0
105,10.0,0.0,1.0,14.0,12.0,5.0,2.0,0.0,10.0,1,0,1,0
106,13.0,1.0,2.0,7.0,2.0,4.0,5.0,1.0,6.0,0,1,1,0
107,13.0,2.0,1.0,5.0,8.0,1.0,1.0,2.0,14.0,1,0,1,0
108,15.0,0.0,4.0,6.0,1.0,4.0,7.0,0.0,11.0,0,1,1,0
109,14.0,0.0,2.0,13.0,5.0,0.0,6.0,2.0,13.0,1,0,0,1
110,10.0,0.0,1.0,10.0,10.0,3.0,0.0,2.0,10.0,0,1,0,1
111,9.0,0.0,2.0,7.0,6.0,1.0,4.0,1.0,10.0,1,0,1,0
112,5.0,1.0,4.0,4.0,5.0,3.0,2.0,2.0,11.0,0,1,1,0
113,6.0,0.0,3.0,5.0,5.0,3.0,8.0,1.0,12.0,1,0,1,0
114,6.0,0.0,2.0,4.0,11.0,4.0,3.0,2.0,8.0,0,1,1,0
115,11.0,0.0,5.0,11.0,9.0,3.0,2.0,2.0,8.0,1,0,1,0
116,11.0,0.0,2.0,11.0,5.0,3.0,6.0,1.0,11.0,0,1,1,0
117,8.0,1.0,3.0,10.0,7.0,0.0,5.0,1.0,9.0,1,0,1,0
118,11.0,1.0,4.0,7.0,4.0,4.0,5.0,0.0,11.0,0,1,1,0
