won,shots,shots_against,goals,goals_against,takeaways,takeaways_against,hits,hits_against,blocked_shots,blocked_shots_against,giveaways,giveaways_against,missed_shots,missed_shots_against,penalities,penalities_against,won_faceoffs,lost_faceoffs,hoa_away,hoa_home
0,8,8,0,3,1,3,14,5,3,3,6,7,4,0,1,1,10,12,1,0
1,8,8,3,0,3,1,5,14,3,3,7,6,0,4,1,1,12,10,0,1
1,11,12,0,1,0,2,4,4,6,8,2,0,6,3,1,3,11,9,1,0
0,12,11,1,0,2,0,4,4,8,6,0,2,3,6,3,1,9,11,0,1
1,9,8,0,1,3,2,4,5,7,1,7,5,3,8,2,1,7,11,1,0
0,8,9,1,0,2,3,5,4,1,7,5,7,8,3,1,2,11,7,0,1
0,4,8,0,1,5,5,12,5,3,4,2,2,3,3,1,3,5,12,1,0
1,8,4,1,0,5,5,5,12,4,3,2,2,3,3,3,1,12,5,0,1
0,5,19,0,1,2,4,9,6,3,3,4,5,2,6,5,3,7,11,1,0
1,19,5,1,0,4,2,6,9,3,3,5,4,6,2,3,5,11,7,0,1
1,11,7,1,0,1,0,9,15,7,5,4,3,1,3,0,0,6,10,1,0
0,7,11,0,1,0,1,15,9,5,7,3,4,3,1,0,0,10,6,0,1
0,6,16,0,0,1,0,12,10,2,0,4,3,0,8,3,1,7,12,1,0
1,16,6,0,0,0,1,10,12,0,2,3,4,8,0,1,3,12,7,0,1
0,5,15,1,1,3,2,5,5,9,3,4,5,1,7,3,0,10,12,1,0
1,15,5,1,1,2,3,5,5,3,9,5,4,7,1,0,3,12,10,0,1
0,7,14,0,0,4,1,7,9,9,2,1,3,7,3,2,2,12,9,1,0
1,14,7,0,0,1,4,9,7,2,9,3,1,3,7,2,2,9,12,0,1
1,11,14,2,0,0,1,14,14,8,1,0,2,3,8,1,1,16,13,1,0
0,14,11,0,2,1,0,14,14,1,8,2,0,8,3,1,1,13,16,0,1
1,10,11,3,0,0,1,8,12,6,4,1,5,6,0,0,2,11,13,1,0
0,11,10,0,3,1,0,12,8,4,6,5,1,0,6,2,0,13,11,0,1
0,7,11,0,1,1,0,9,11,5,11,3,2,3,3,0,2,11,8,1,0
1,11,7,1,0,0,1,11,9,11,5,2,3,3,3,2,0,8,11,0,1
0,3,13,0,1,2,0,9,11,4,2,1,0,4,12,1,0,6,8,1,0
1,13,3,1,0,0,2,11,9,2,4,0,1,12,4,0,1,8,6,0,1
1,2,7,1,1,2,2,9,15,6,1,1,3,3,4,0,0,9,9,1,0
0,7,2,1,1,2,2,15,9,1,6,3,1,4,3,0,0,9,9,0,1
0,9,3,0,2,2,3,10,10,7,4,2,4,8,3,0,1,8,9,1,0
1,3,9,2,0,3,2,10,10,4,7,4,2,3,8,1,0,9,8,0,1
1,7,11,0,1,2,3,3,7,2,4,1,4,3,3,2,2,7,8,1,0
0,11,7,1,0,3,2,7,3,4,2,4,1,3,3,2,2,8,7,0,1
0,10,9,2,1,3,3,0,4,6,2,4,3,4,9,1,1,11,10,1,0
1,9,10,1,2,3,3,4,0,2,6,3,4,9,4,1,1,10,11,0,1
1,5,12,1,1,1,0,6,14,7,2,2,5,3,6,2,0,8,9,1,0
0,12,5,1,1,0,1,14,6,2,7,5,2,6,3,0,2,9,8,0,1
1,10,13,3,2,2,4,7,6,1,0,2,1,3,2,1,0,3,13,1,0
0,13,10,2,3,4,2,6,7,0,1,1,2,2,3,0,1,13,3,0,1
1,7,5,2,0,2,1,3,11,2,2,1,2,1,5,2,3,11,6,1,0
0,5,7,0,2,1,2,11,3,2,2,2,1,5,1,3,2,6,11,0,1
0,10,13,1,3,0,3,4,3,1,3,1,3,3,7,2,3,14,13,1,0
1,13,10,3,1,3,0,3,4,3,1,3,1,7,3,3,2,13,14,0,1
0,7,9,1,0,3,4,10,11,2,3,3,7,6,2,2,1,11,9,1,0
1,9,7,0,1,4,3,11,10,3,2,7,3,2,6,1,2,9,11,0,1
1,8,17,3,0,0,0,10,6,7,5,3,3,4,5,4,1,9,16,1,0
0,17,8,0,3,0,0,6,10,5,7,3,3,5,4,1,4,16,9,0,1
0,5,13,0,0,3,5,9,10,8,8,5,5,2,6,1,0,7,13,1,0
1,13,5,0,0,5,3,10,9,8,8,5,5,6,2,0,1,13,7,0,1
0,11,8,0,2,3,0,10,12,5,6,3,2,10,9,1,2,7,9,1,0
1,8,11,2,0,0,3,12,10,6,5,2,3,9,10,2,1,9,7,0,1
0,10,11,0,1,1,2,4,8,7,7,4,6,5,3,0,1,9,11,1,0
1,11,10,1,0,2,1,8,4,7,7,6,4,3,5,1,0,11,9,0,1
0,11,13,1,1,1,3,10,7,6,5,6,2,3,5,1,0,9,5,1,0
1,13,11,1,1,3,1,7,10,5,6,2,6,5,3,0,1,5,9,0,1
0,7,8,1,0,2,3,3,3,5,8,3,5,3,5,1,1,11,13,1,0
1,8,7,0,1,3,2,3,3,8,5,5,3,5,3,1,1,13,11,0,1
0,9,8,2,2,2,0,10,7,5,2,2,4,3,4,1,1,15,8,1,0
1,8,9,2,2,0,2,7,10,2,5,4,2,4,3,1,1,8,15,0,1
1,8,4,0,0,2,0,10,4,5,7,1,3,5,9,2,1,6,12,1,0
0,4,8,0,0,0,2,4,10,7,5,3,1,9,5,1,2,12,6,0,1
0,12,7,0,0,5,3,9,6,7,3,2,5,3,5,2,0,5,13,1,0
1,7,12,0,0,3,5,6,9,3,7,5,2,5,3,0,2,13,5,0,1
0,11,10,0,0,3,5,7,12,1,5,1,3,4,6,1,2,4,6,1,0
1,10,11,0,0,5,3,12,7,5,1,3,1,6,4,2,1,6,4,0,1
1,9,10,1,0,3,1,3,8,4,8,1,1,3,5,2,0,6,12,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
0,10,9,0,1,1,3,8,3,8,4,1,1,5,3,0,2,12,6,0,1
0,9,13,0,1,4,3,18,11,6,5,3,6,4,2,2,1,3,12,1,0
1,13,9,1,0,3,4,11,18,5,6,6,3,2,4,1,2,12,3,0,1
0,9,9,1,0,1,1,4,10,6,8,1,1,1,3,0,1,14,7,1,0
1,9,9,0,1,1,1,10,4,8,6,1,1,3,1,1,0,7,14,0,1
0,4,10,1,0,3,1,9,12,6,2,1,2,3,1,0,1,12,10,1,0
1,10,4,0,1,1,3,12,9,2,6,2,1,1,3,1,0,10,12,0,1
0,10,13,0,1,1,0,14,13,4,5,2,10,4,6,0,1,10,9,1,0
1,13,10,1,0,0,1,13,14,5,4,10,2,6,4,1,0,9,10,0,1
0,12,6,0,2,1,1,8,7,5,7,1,6,4,3,0,1,12,10,1,0
1,6,12,2,0,1,1,7,8,7,5,6,1,3,4,1,0,10,12,0,1
0,3,22,0,0,1,4,14,8,10,0,6,5,1,6,3,0,8,13,1,0
1,22,3,0,0,4,1,8,14,0,10,5,6,6,1,0,3,13,8,0,1
0,14,8,0,2,5,4,10,8,8,8,1,2,1,1,0,1,17,8,1,0
1,8,14,2,0,4,5,8,10,8,8,2,1,1,1,1,0,8,17,0,1
0,12,3,0,0,4,0,3,3,2,4,4,3,5,2,1,2,16,9,1,0
1,3,12,0,0,0,4,3,3,4,2,3,4,2,5,2,1,9,16,0,1
1,5,19,1,2,0,0,7,14,1,5,2,3,5,7,2,1,11,17,1,0
0,19,5,2,1,0,0,14,7,5,1,3,2,7,5,1,2,17,11,0,1
0,11,6,2,1,2,4,19,9,6,4,2,7,5,1,0,0,12,6,1,0
1,6,11,1,2,4,2,9,19,4,6,7,2,1,5,0,0,6,12,0,1
0,11,11,1,2,3,1,4,12,3,2,6,10,5,1,1,2,8,6,1,0
1,11,11,2,1,1,3,12,4,2,3,10,6,1,5,2,1,6,8,0,1
